inci_no,Year,Season,Alm_Date,Address,Incident Type,Incident Type Number,Inci_type,Content_Loss,Property_Loss,Total_Loss,Pre_Inci_Value,Saved
10110,2014,Spring,4/19/2014,4821 ST LEO n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,0,800,800,55000,54200
10083,2014,Spring,4/19/2014,2074 SHERWOOD N/A City of Kingsley KY 40205,Outside Fire,142,142 - Brush or brush-and-grass mixture fire,0,200,200,300000,299800
10171,2014,Spring,4/20/2014,306 S 41ST None City of Louisville KY 40212,Outside Fire,160,"160 - Special outside fire, other",0,50,50,500,450
10206,2014,Spring,4/20/2014,6608 NORWAY na City of Louisville KY 40214,Structure Fire,111,111 - Building fire,1000,1000,2000,170000,168000
10332,2014,Spring,4/22/2014,2717 GARDINER n/a City of Kingsley KY 40205,Vehicle Fire,131,131 - Passenger vehicle fire,500,1000,1500,1000,-500
10425,2014,Spring,4/23/2014,725 E OAK n/a City of Louisville KY 40203,Structure Fire,111,111 - Building fire,15000,75000,90000,225000,135000
10425,2014,Spring,4/23/2014,725 E OAK n/a City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,1200,1200,15000,13800
10580,2014,Spring,4/24/2014,PRESTON City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,0,3200,3200,3200,0
10737,2014,Spring,4/26/2014,807 E BROADWAY N/A City of Louisville KY 40204,Structure Fire,111,111 - Building fire,8000,15000,23000,200000,177000
10758,2014,Spring,4/26/2014,405 E BRANDEIS None City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,0,6000,6000,6000,0
10906,2014,Spring,4/28/2014,3669 POWELL n/a City of Louisville KY 40215,Structure Fire,111,111 - Building fire,0,5000,5000,49040,44040
11050,2014,Spring,4/29/2014,28 COLONIAL OAKS 2 City of Louisville KY 40214,Structure Fire,111,111 - Building fire,1000,3000,4000,3000,-1000
11062,2014,Spring,4/29/2014,3031 DUMESNIL N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,25000,25000,75000,50000
11066,2014,Spring,4/30/2014,DIXIE City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,5400,5400,5400,0
11074,2014,Spring,4/30/2014,1117 KAISER N/A City of Louisville KY 40211,Vehicle Fire,138,138 - Off-road vehicle or heavy equipment fire,3000,0,3000,0,-3000
11255,2014,Summer,5/1/2014,1440 S 32ND N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,3000,30000,33000,50000,17000
11255,2014,Summer,5/1/2014,1438 S 32ND N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,1000,1000,50000,49000
11292,2014,Summer,5/2/2014,2116 DATE N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,24000,24000,24000,0
11318,2014,Summer,5/2/2014,700 CENTRAL paddock City of Louisville KY 40208,Structure Fire,113,"113 - Cooking fire, confined to container",1000,1000,2000,1000,-1000
11292,2014,Summer,5/2/2014,2114 DATE N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,5000,5000,30000,25000
11292,2014,Summer,5/2/2014,2118 DATE N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,5000,5000,25000,20000
11399,2014,Summer,5/3/2014,700 CENTRAL Paddock grill City of Louisville KY 40208,Structure Fire,113,"113 - Cooking fire, confined to container",500,0,500,50000,49500
11428,2014,Summer,5/3/2014,5405 WILDERNESS na City of Louisville KY 40214,Structure Fire,111,111 - Building fire,0,500,500,500,0
11428,2014,Summer,5/3/2014,143 WOODMORE na City of Louisville KY 40214,Structure Fire,111,111 - Building fire,0,100,100,500,400
11559,2014,Summer,5/4/2014,408 GEORGE UNSELD N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,500,1500,2000,25000,23000
11740,2014,Summer,5/6/2014,1708 LANG N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2500,2500,4000,1500
11744,2014,Summer,5/6/2014,232 N CAMPBELL 0 City of Louisville KY 40206,Outside Fire,160,"160 - Special outside fire, other",1,0,1,0,-1
11823,2014,Summer,5/7/2014,1702 W KENTUCKY na City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,22920,22920,22920,0
11855,2014,Summer,5/7/2014,3710 E WHEATMORE Building H City of Louisville KY 40215,Structure Fire,111,111 - Building fire,1000,5000,6000,5000,-1000
11860,2014,Summer,5/7/2014,S 29TH City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,3500,2500
11823,2014,Summer,5/7/2014,1702 W KENTUCKY na City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,5000,5000,27060,22060
11893,2014,Summer,5/8/2014,2117 GRAND na City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,35760,35760,35760,0
11906,2014,Summer,5/8/2014,815 HUMLER N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,10000,10000,10000,0
11935,2014,Summer,5/8/2014,810 BARRET n/a City of Louisville KY 40204,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,1000,500
12061,2014,Summer,5/9/2014,240 I 264 West n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,1500,1500,1500,0
12245,2014,Summer,5/11/2014,1050 LYNNHURST n/a City of Louisville KY 40215,Outside Fire,162,162 - Outside equipment fire,0,400,400,400,0
12315,2014,Summer,5/12/2014,1611 WILSON n/a City of Louisville KY 40210,Structure Fire,111,111 - Building fire,1000,15000,16000,27000,11000
12385,2014,Summer,5/12/2014,422 E OAK n\a City of Louisville KY 40203,Outside Fire,160,"160 - Special outside fire, other",0,2000,2000,2000,0
12315,2014,Summer,5/12/2014,1611 WILSON n/a City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,1000,1000,1000,0
12520,2014,Summer,5/14/2014,3203 BROWNSBORO garage City of Louisville KY 40206,Structure Fire,111,111 - Building fire,20000,20000,40000,20000,-20000
12594,2014,Summer,5/14/2014,1615 W MUHAMMAD ALI 6 City of Louisville KY 40203,Structure Fire,111,111 - Building fire,1000,2500,3500,150878,147378
12607,2014,Summer,5/14/2014,621 S 42ND none City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,250,2500,2750,2500,-250
12520,2014,Summer,5/14/2014,3203 BROWNSBORO garage City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,15000,15000,15000,0
12520,2014,Summer,5/14/2014,3203 BROWNSBORO garage City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,5000,5000,20000,15000
12687,2014,Summer,5/16/2014,1295 BARDSTOWN n/a City of Louisville KY 40204,Structure Fire,111,111 - Building fire,0,300,300,300,0
12780,2014,Summer,5/17/2014,1909 PEONY N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,6000,4000
12801,2014,Summer,5/17/2014,1086 BICKNELL N/A City of Louisville KY 40215,Structure Fire,111,111 - Building fire,4000,10000,14000,71000,57000
12809,2014,Summer,5/17/2014,2838 TAYLOR n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,1000,10000,11000,10000,-1000
12812,2014,Summer,5/17/2014,1029 BARDSTOWN C City of Louisville KY 40204,Structure Fire,116,"116 - Fuel burner/boiler malfunction, fire confined",0,600,600,300000,299400
12822,2014,Summer,5/17/2014,912 CAMDEN N/A City of Louisville KY 40215,Structure Fire,111,111 - Building fire,0,400,400,46000,45600
12839,2014,Summer,5/17/2014,WARNOCK City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,7000,7000,7000,0
12809,2014,Summer,5/17/2014,2836 TAYLOR n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,1000,1000,10000,9000
12809,2014,Summer,5/17/2014,2836 TAYLOR n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,0,200,200,200,0
12931,2014,Summer,5/18/2014,2320 ECTON N/A City of Louisville KY 40216,Structure Fire,113,"113 - Cooking fire, confined to container",500,0,500,120000,119500
12938,2014,Summer,5/18/2014,818 S 39TH N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,2500,2500,47030,44530
13013,2014,Summer,5/19/2014,4700 S 3RD n/a City of Louisville KY 40214,Structure Fire,111,111 - Building fire,500,0,500,0,-500
13030,2014,Summer,5/19/2014,2732 VIRGINIA 3 City of Louisville KY 40211,Structure Fire,111,111 - Building fire,5000,10000,15000,100000,85000
13040,2014,Summer,5/19/2014,2639 LANDOR n/a City of Kingsley KY 40205,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,3000,1000
13067,2014,Summer,5/20/2014,224 N 37TH n/a City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,2000,2000,75000,73000
13094,2014,Summer,5/20/2014,611 S 44TH 4 City of Louisville KY 40211,Outside Fire,161,161 - Outside storage fire,2000,1500,3500,5000,1500
13128,2014,Summer,5/20/2014,841 RIVER CREST 4 City of Louisville KY 40206,Structure Fire,113,"113 - Cooking fire, confined to container",500,200,700,50000,49300
13142,2014,Summer,5/21/2014,3123 RIVER PARK na City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,6000,6000,6000,0
13150,2014,Summer,5/21/2014,3111 HALE n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,500,1500,2000,65000,63000
13213,2014,Summer,5/21/2014,ALGONQUIN City of Louisville KY 40210,Vehicle Fire,132,132 - Road freight or transport vehicle fire,0,500,500,10000,9500
13331,2014,Summer,5/23/2014,S 45TH City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,18000,18000,18000,0
13382,2014,Summer,5/23/2014,545 S JACKSON 701 City of Louisville KY 40202,Structure Fire,118,"118 - Trash or rubbish fire, contained",50,2000,2050,2000,-50
13425,2014,Summer,5/23/2014,4418 ALLMOND n/a City of Louisville KY 40209,Structure Fire,111,111 - Building fire,2000,10000,12000,68600,56600
13331,2014,Summer,5/23/2014,S 45TH City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,5000,5000,5000,0
13482,2014,Summer,5/24/2014,134 E WOODLAWN n/a City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,8000,6000
13612,2014,Summer,5/25/2014,350 N 24TH N/A City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,15000,15000,20000,5000
13653,2014,Summer,5/26/2014,1818 DATE n/a City of Louisville KY 40210,Outside Fire,150,"150 - Outside rubbish fire, other",0,750,750,2000,1250
13759,2014,Summer,5/27/2014,833 S SHELBY N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,5000,20000,25000,25000,0
13778,2014,Summer,5/28/2014,3314 ILLINOIS N/A City of Audubon Park KY 40213,Structure Fire,111,111 - Building fire,0,50000,50000,89000,39000
13799,2014,Summer,5/28/2014,W OAK City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,25,0,25,0,-25
13813,2014,Summer,5/28/2014,2909 FERN VALLEY na City of Audubon Park KY 40213,Structure Fire,111,111 - Building fire,3000,2000,5000,3000,-2000
13819,2014,Summer,5/28/2014,1011 S 32ND n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,5000,15000,20000,30000,10000
13834,2014,Summer,5/28/2014,1201 BRASHEAR 12 City of Louisville KY 40210,Structure Fire,111,111 - Building fire,1000,1000,2000,1000,-1000
14009,2014,Summer,5/30/2014,1480 S 7TH NA City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
14009,2014,Summer,5/30/2014,1480 S 7TH NA City of Louisville KY 40208,Outside Fire,162,162 - Outside equipment fire,0,5000,5000,5000,0
14009,2014,Summer,5/30/2014,1480 S 7TH NA City of Louisville KY 40208,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,1000,0
14088,2014,Summer,5/31/2014,3628 STRATTON N/A City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,500,4000,4500,4000,-500
14089,2014,Summer,5/31/2014,909 E BROADWAY N/A City of Louisville KY 40204,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,4000,0
14293,2014,Summer,6/2/2014,228 S HITE N/A City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,4000,4000,150000,146000
14387,2014,Summer,6/3/2014,3311 7TH STREET na City of Louisville KY 40216,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,5000,3000
14670,2014,Summer,6/6/2014,1203 W MUHAMMAD ALI 1104 City of Louisville KY 40203,FALSE,442,442 - Overheated motor,150,0,150,NULL,NULL
14726,2014,Summer,6/7/2014,S 13TH City of Louisville KY 40203,FALSE,322,322 - Motor vehicle accident with injuries,0,8000,8000,8000,0
14732,2014,Summer,6/7/2014,448 SIMMONS Bldg 13 City of Louisville KY 40203,Structure Fire,111,111 - Building fire,250,0,250,NULL,NULL
14737,2014,Summer,6/7/2014,TAYLORSVILLE City of Cambridge KY 40220,Vehicle Fire,131,131 - Passenger vehicle fire,0,7000,7000,7000,0
14745,2014,Summer,6/7/2014,3201 LEITH 617 City of Louisville KY 40218,Structure Fire,111,111 - Building fire,300,0,300,NULL,NULL
14785,2014,Summer,6/7/2014,722 COKE NA City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,1000,1000,1000,0
14789,2014,Summer,6/7/2014,1210 CHEROKEE porch ceiling City of Louisville KY 40204,Structure Fire,111,111 - Building fire,0,2000,2000,300000,298000
14845,2014,Summer,6/8/2014,781 I 64 West N/A City of Louisville KY 40206,FALSE,322,322 - Motor vehicle accident with injuries,100,3000,3100,3000,-100
14871,2014,Summer,6/8/2014,7900 SHELBYVILLE n/a City of Bancroft KY 40222,Vehicle Fire,131,131 - Passenger vehicle fire,0,2500,2500,2500,0
14883,2014,Summer,6/8/2014,524 S 20TH na City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,250,250,40000,39750
14953,2014,Summer,6/9/2014,1352 LILLIAN none City of Louisville KY 40208,Structure Fire,111,111 - Building fire,2000,2000,4000,50000,46000
15054,2014,Summer,6/10/2014,1139 SAMUEL n/a City of Louisville KY 40204,Structure Fire,111,111 - Building fire,100,2000,2100,10000,7900
15163,2014,Summer,6/11/2014,560 I 64 East N/A City of Louisville KY 40206,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,1000,0
15251,2014,Summer,6/12/2014,TAYLORSVILLE City of Kingsley KY 40205,FALSE,500,"500 - Service call, other",0,5000,5000,5000,0
15274,2014,Summer,6/13/2014,S 4TH City of Louisville KY 40202,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",100,0,100,0,-100
15369,2014,Summer,6/14/2014,2132 GARLAND N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,3000,10000,13000,29000,16000
15381,2014,Summer,6/14/2014,449 N 26TH NA City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,100,100,12120,12020
15395,2014,Summer,6/14/2014,1010 S SHELBY N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,3000,3000,35000,32000
15395,2014,Summer,6/14/2014,1012 S SHELBY N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,3000,3000,35000,32000
15473,2014,Summer,6/15/2014,2409 ROWAN n/a City of Louisville KY 40212,Structure Fire,118,"118 - Trash or rubbish fire, contained",0,400,400,100000,99600
15484,2014,Summer,6/15/2014,1028 MAGAZINE na City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,0,4500,4500,4500,0
15546,2014,Summer,6/15/2014,704 BERMUDA n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,2000,0
15557,2014,Summer,6/15/2014,3415 BARDSTOWN back room City of Louisville KY 40218,Structure Fire,111,111 - Building fire,1000,0,1000,0,-1000
15571,2014,Summer,6/15/2014,S 15TH City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,0,21888,21888,21888,0
15546,2014,Summer,6/15/2014,704 BERMUDA n/a City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,2000,1000
15696,2014,Summer,6/16/2014,1649 BELMAR 1 City of Audubon Park KY 40213,Structure Fire,111,111 - Building fire,750,2000,2750,80000,77250
15705,2014,Summer,6/17/2014,809 S 8TH N/A City of Louisville KY 40203,Structure Fire,111,111 - Building fire,5000,1500,6500,1209480,1202980
15719,2014,Summer,6/17/2014,NEWBURG City of Kingsley KY 40205,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",0,4000,4000,30000,26000
15770,2014,Summer,6/17/2014,126 E KINGSTON 2 City of Louisville KY 40214,Structure Fire,111,111 - Building fire,1000,3000,4000,3000,-1000
15795,2014,Summer,6/18/2014,1766 W OAK N/A City of Louisville KY 40210,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,300,300,300,0
15873,2014,Summer,6/18/2014,2407 SHERRY na City of Louisville KY 40217,Structure Fire,111,111 - Building fire,5000,10000,15000,10000,-5000
15882,2014,Summer,6/18/2014,TAYLORSVILLE City of Cambridge KY 40220,FALSE,322,322 - Motor vehicle accident with injuries,0,1000,1000,1000,0
15898,2014,Summer,6/18/2014,1027 DIXIE na City of Louisville KY 40210,Structure Fire,111,111 - Building fire,2000,2000,4000,25290,21290
15948,2014,Summer,6/19/2014,2100 W CHESTNUT N/A City of Louisville KY 40211,Structure Fire,116,"116 - Fuel burner/boiler malfunction, fire confined",100,0,100,NULL,NULL
16101,2014,Summer,6/20/2014,2407 W Market na City of Louisville KY 40212,Structure Fire,111,111 - Building fire,10000,25000,35000,50000,15000
16133,2014,Summer,6/21/2014,2621 NORTHWESTERN na City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,300,300,78000,77700
16159,2014,Summer,6/21/2014,ALGONQUIN City of Louisville KY 40210,Vehicle Fire,131,131 - Passenger vehicle fire,0,15000,15000,15000,0
16218,2014,Summer,6/21/2014,1204 BARDSTOWN N/A City of Louisville KY 40204,Vehicle Fire,131,131 - Passenger vehicle fire,0,500,500,4000,3500
16295,2014,Summer,6/22/2014,932 S 1ST 1stFloorApt. City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,50000,50000,250000,200000
16299,2014,Summer,6/22/2014,808 EASTERN Suite 1 City of Louisville KY 40217,Structure Fire,111,111 - Building fire,0,200,200,4000000,3999800
16315,2014,Summer,6/22/2014,1279 S PRESTON 1 City of Louisville KY 40203,Structure Fire,111,111 - Building fire,100,0,100,0,-100
16330,2014,Summer,6/23/2014,3824 RIMONTE N/A City of Cambridge KY 40220,Structure Fire,111,111 - Building fire,20000,75000,95000,138000,43000
16446,2014,Summer,6/24/2014,2007 MAGAZINE 0 City of Louisville KY 40203,Structure Fire,111,111 - Building fire,0,1000,1000,25000,24000
16636,2014,Summer,6/26/2014,514 HEYWOOD n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,200,800,1000,45000,44000
16756,2014,Summer,6/27/2014,200 ABRAHAM FLEXNER 4 City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,8000,8000,12000,4000
16756,2014,Summer,6/27/2014,200 ABRAHAM FLEXNER 4 City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,4000,4000,14000,10000
16822,2014,Summer,6/28/2014,2226 W JEFFERSON n/a City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,1500,1500,1500,0
16822,2014,Summer,6/28/2014,2226 W JEFFERSON n/a City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,3000,3000,60000,57000
16869,2014,Summer,6/28/2014,222 E WITHERSPOON 504 City of Louisville KY 40202,Structure Fire,113,"113 - Cooking fire, confined to container",25000,5000,30000,5000,-25000
16874,2014,Summer,6/28/2014,2740 FLEMING N/A City of Louisville KY 40206,Vehicle Fire,131,131 - Passenger vehicle fire,100,1000,1100,1500,400
16940,2014,Summer,6/29/2014,3041 WILSON N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,100000,0,100000,0,-100000
16962,2014,Summer,6/29/2014,1010 MAGAZINE na City of Louisville KY 40203,Structure Fire,111,111 - Building fire,1000,5000,6000,50000,44000
17027,2014,Summer,6/30/2014,BOWMAN City of Kingsley KY 40205,FALSE,463,"463 - Vehicle accident, general cleanup",0,2000,2000,2000,0
17062,2014,Summer,6/30/2014,N 32ND City of Louisville KY 40212,Vehicle Fire,132,132 - Road freight or transport vehicle fire,150000,200000,350000,200000,-150000
17140,2014,Summer,7/1/2014,1680 I 264 East N/A City of Cambridge KY 40220,Vehicle Fire,131,131 - Passenger vehicle fire,0,350,350,3000,2650
17191,2014,Summer,7/2/2014,1020 MORGAN n/a City of Louisville KY 40217,Vehicle Fire,131,131 - Passenger vehicle fire,0,4600,4600,4600,0
17246,2014,Summer,7/2/2014,13080 I 65 North N/A City of Audubon Park KY 40213,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,6000,4000
17251,2014,Summer,7/2/2014,1391 DIXIE N/A City of Louisville KY 40210,Structure Fire,111,111 - Building fire,0,25000,25000,25000,0
17300,2014,Summer,7/3/2014,1100 I 264 East N/A City of Louisville KY 40209,Vehicle Fire,132,132 - Road freight or transport vehicle fire,0,500,500,50000,49500
17416,2014,Summer,7/4/2014,2226 EASTVIEW n\a City of Kingsley KY 40205,Outside Fire,160,"160 - Special outside fire, other",300,0,300,0,-300
17426,2014,Summer,7/4/2014,2612 DUNCAN none City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,2000,2000,19000,17000
17427,2014,Summer,7/4/2014,2710 W MADISON N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,19370,19370,19370,0
17438,2014,Summer,7/4/2014,3224 W MARKET none City of Louisville KY 40212,Structure Fire,111,111 - Building fire,0,100,100,37000,36900
17427,2014,Summer,7/4/2014,2708 W MADISON N/A City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,1000,1000,16130,15130
17513,2014,Summer,7/5/2014,2530 SLEVIN 308 City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,0,3000,3000,3000,0
17550,2014,Summer,7/5/2014,1301 S 28TH 103 City of Louisville KY 40211,Outside Fire,142,142 - Brush or brush-and-grass mixture fire,0,2000,2000,450000,448000
17571,2014,Summer,7/5/2014,1238 S 16TH 0 City of Louisville KY 40210,Structure Fire,111,111 - Building fire,100,0,100,0,-100
17579,2014,Summer,7/5/2014,4125 ALGONQUIN na City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,1000,1000,15000,14000
17612,2014,Summer,7/5/2014,3427 VETTER NA City of Louisville KY 40215,Structure Fire,111,111 - Building fire,0,500,500,500,0
17662,2014,Summer,7/6/2014,802 S 38TH na City of Louisville KY 40211,Structure Fire,111,111 - Building fire,100,500,600,67780,67180
17719,2014,Summer,7/6/2014,2700 CEDAR None City of Louisville KY 40212,Structure Fire,118,"118 - Trash or rubbish fire, contained",0,500,500,26000,25500
17844,2014,Summer,7/8/2014,3910 VERMONT n/a City of Louisville KY 40211,Structure Fire,111,111 - Building fire,2500,5000,7500,25000,17500
17867,2014,Summer,7/8/2014,34 COLONIAL OAKS 1 City of Louisville KY 40214,Structure Fire,111,111 - Building fire,0,300,300,100000,99700
17932,2014,Summer,7/8/2014,2877 REGAN Basement City of Louisville KY 40206,Structure Fire,111,111 - Building fire,0,1000,1000,300000,299000
17937,2014,Summer,7/9/2014,455 N 26TH n/a City of Louisville KY 40212,Vehicle Fire,131,131 - Passenger vehicle fire,100,4000,4100,12000,7900
17988,2014,Summer,7/9/2014,3719 GREENWOOD na City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,5000,5000,5000,0
18115,2014,Summer,7/11/2014,207 S PETERSON 2 City of Louisville KY 40206,Structure Fire,113,"113 - Cooking fire, confined to container",0,500,500,200000,199500
18198,2014,Summer,7/11/2014,666 S 35TH n/a City of Louisville KY 40211,Vehicle Fire,131,131 - Passenger vehicle fire,0,2500,2500,2500,0
18207,2014,Summer,7/12/2014,1600 GARLAND 608 City of Louisville KY 40210,Structure Fire,111,111 - Building fire,300,10000,10300,20000,9700
18216,2014,Summer,7/12/2014,1129 E ST CATHERINE n/a City of Louisville KY 40204,Structure Fire,111,111 - Building fire,20000,25000,45000,25000,-20000
18216,2014,Summer,7/12/2014,1129 E ST CATHERINE n/a City of Louisville KY 40204,Structure Fire,111,111 - Building fire,20000,25000,45000,25000,-20000
18216,2014,Summer,7/12/2014,1129 E ST CATHERINE n/a City of Louisville KY 40204,Structure Fire,111,111 - Building fire,500,20000,20500,20000,-500
18291,2014,Summer,7/13/2014,1751 DUMESNIL N/A City of Louisville KY 40210,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,500,500,500,0
18396,2014,Summer,7/14/2014,1105 CAMDEN n/a City of Louisville KY 40215,Structure Fire,111,111 - Building fire,5000,5000,10000,10000,0
18450,2014,Summer,7/14/2014,2511 GRINSTEAD N/A City of Louisville KY 40206,Vehicle Fire,131,131 - Passenger vehicle fire,0,1200,1200,2500,1300
18565,2014,Summer,7/16/2014,2426 ELLIOTT na City of Louisville KY 40211,Structure Fire,111,111 - Building fire,0,2000,2000,18140,16140
18632,2014,Summer,7/16/2014,S 8TH City of Louisville KY 40202,Vehicle Fire,131,131 - Passenger vehicle fire,0,300,300,2000,1700
18645,2014,Summer,7/16/2014,2510 NORTHWESTERN N/A City of Louisville KY 40212,Outside Fire,161,161 - Outside storage fire,0,100,100,100,0
18693,2014,Summer,7/17/2014,3225 GOLDEN TURTLE N/A City of Louisville KY 40218,Vehicle Fire,131,131 - Passenger vehicle fire,0,2000,2000,2000,0
18696,2014,Summer,7/17/2014,1000 I 264 West NA City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,0,750,750,5000,4250
18748,2014,Summer,7/17/2014,1426 S 28TH N/A City of Louisville KY 40210,Outside Fire,151,"151 - Outside rubbish, trash or waste fire",0,100,100,20000,19900
18806,2014,Summer,7/18/2014,2012 PEABODY 2 City of Louisville KY 40218,Structure Fire,113,"113 - Cooking fire, confined to container",500,0,500,350000,349500
18910,2014,Summer,7/19/2014,2004 BANK N/A City of Louisville KY 40203,Structure Fire,112,112 - Fires in structure other than in a building,200,0,200,NULL,NULL
19059,2014,Summer,7/21/2014,N 24TH City of Louisville KY 40212,Outside Fire,154,154 - Dumpster or other outside trash receptacle fire,0,100,100,100,0
19138,2014,Summer,7/21/2014,S HANCOCK City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,0,12000,12000,18000,6000
19152,2014,Summer,7/22/2014,1435 S 3RD n/a City of Louisville KY 40208,Structure Fire,111,111 - Building fire,1000,5000,6000,100000,94000
19153,2014,Summer,7/22/2014,1532 S 4TH N/A City of Louisville KY 40208,Structure Fire,111,111 - Building fire,100000,150000,250000,250000,0
19198,2014,Summer,7/22/2014,S 3RD City of Louisville KY 40214,Vehicle Fire,131,131 - Passenger vehicle fire,500,2000,2500,2000,-500
19233,2014,Summer,7/22/2014,1385 S 3RD None City of Louisville KY 40208,FALSE,161,161 - Outside storage fire,100,0,100,NULL,NULL
19254,2014,Summer,7/23/2014,3938 TAYLORSVILLE N/A City of Cambridge KY 40220,Vehicle Fire,130,"130 - Mobile property (vehicle) fire, other",150,150,300,150,-150
19283,2014,Summer,7/23/2014,1036 PLACE VERT na City of Louisville KY 40203,Vehicle Fire,131,131 - Passenger vehicle fire,1000,1000,2000,1000,-1000
19290,2014,Summer,7/23/2014,2213 W MARKET n/a City of Louisville KY 40212,Structure Fire,111,111 - Building fire,500,15000,15500,20000,4500
